Symbol
ACST
ADMP
ADBE
ADXS
AKAM
ALXN
MO
AMGN
AAPL
APTO
ANET
ADP
BIIB
BMRN
BMY
BATS
CLSN
CERN
CHTR
CVX
CSCO
CTXR
KO
CTSH
CMCSA
COP
ED
COST
D
ENPH
XOM
GBS
GENE
GPC
GILD
GSK
GL
HBI
HEPA
HPE
HFC
HD
HPQ
ILMN
INCY
IBM
ITRM
JAGX
JNPR
KDP
KHC
LOW
LULU
LKCO
MPC
MCD
MRK
MET
MSFT
MNMD
MRNA
MNST
MBIO
NAKD
NTAP
NWL
NKE
ORLY
OKTA
OKE
ORCL
PAYC
PEP
PFE
PM
PSX
PROG
REGN
CRM
SGEN
SESN
SBUX
SPRT
TGT
IPG
TXMD
TNXP
TRCH
TYL
TYME
VLO
VFC
WMT
WMB
ATVI
AFL
ALL
AMZN
AXP
BAC
CAT
CDW
SCHW
C
CTXS
DLTR
DOW
DUK
EBAY
EA
FB
FTNT
GD
GS
HON
INTC
INTU
JPM
LMT
NFLX
PAYX
QCOM
SIRI
SPLK
TSLA
TXN
WFC
WDC
MMM
ABBV
ACS
AMD
AEZS
AGNC
APD
ALGN
AMCR
AEP
AIG
AMT
AMP
AMST
ADI
ANSS
AON
AMAT
APTX
AJG
ASML
AIZ
T
TEAM
ATOS
ADSK
AVB
BIDU
BK
BKG
BIOL
BLK
BX
BA
BKNG
BXP
AVGO
BR
BYFC
CABO
CDNS
COF
CTRM
CBOE
CHKP
CB
CINF
CIDM
CTAS
CFG
CLN
CSCW
CMA
CPRT
GLW
CCI
CSX
DXCM
DFS
DOCU
DXC
ETN
EIX
EMR
ETR
EQR
RE
EVRG
EVFM
XELA
EXC
FFIV
FAMI
FAST
FRT
FITB
FRC
FE
FISV
FLT
FMG
BEN
IT
GE
GNUS
GPN
PEAK
HBAN
IDEX
IDXX
ITW
ICE
IP
ISRG
IVZ
IPGP
IRM
JKHY
JAR
JD
JNJ
KEY
KEYS
KIM
KLAC
LRCX
LEG
LNC
LIN
L
LUMN
LYB
MTB
MKTX
MAR
MMC
MRVL
MA
MTCH
MXIM
MELI
MCHP
MU
MDLZ
MPWR
MCO
MS
MSI
MSCI
NDAQ
NTES
NYCB
NWSA
NTRS
NOC
NLOK
NVDA
NXPI
OHI
OMC
OGI
OXBR
PCAR
PANL
PYPL
PTON
PBCT
PDD
PNW
PNC
PPL
POAI
PFG
PG
IPDN
PGR
PLD
PRU
PTC
PSA
QRVO
RJF
RTX
O
REG
RF
RGLS
ROST
SPGI
STX
SHIP
NOW
SIEB
SPG
SWKS
SO
ANY
STWD
SNDL
SRGA
SIVB
SYF
SNPS
TROW
TEL
TELL
TER
HIG
TRV
WU
TMUS
TRMB
TCOM
TFC
USB
UNP
UNH
UNM
VBIV
VTR
VEON
VER
VRSN
VRSK
VZ
VRTX
V
VNO
WPC
WBA
DIS
WM
WELL
WLTW
WDAY
WRB
XEL
XLNX
ZBRA
ZION
ZM
